MANDT,VBELN,ERDAT,ERNAM,KUNNR,NETWR,VSBED,FAKSK
SC1,fa1a1720-4d44-45ce-ad25-19d3c45ec7ae,2019-02-13 12:14:02,Marita Creagh,e5e91493-7b9c-4a9c-8a15-a7974f876e9a,8838.7,Truck Transport,
SC1,3a03cd14-6ff7-4f62-999b-3eba66388ca8,2009-09-22 14:02:36,Irene Llanas,d82147e3-6ab4-4856-8817-5846d4b96aed,9598.52,Standard Delivery,
SC1,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,2010-04-18 01:02:20,Ward Weckerly,6e2da7da-0e0c-4c0d-85db-edcab365394f,11109.88,Standard Delivery,
SC1,935cef34-ca58-43ff-92bf-0fa4ea207f76,2018-11-26 22:13:44,Lawerence Pintor,8f1c110f-a97b-43de-af7d-64b47d532e56,11584.53,Sea Freight,
SC1,0b42a25a-65d1-4b93-8dc3-d2ffead56f70,2014-05-11 13:20:02,Karri Ptacek,7a548999-182c-4efa-9ace-f4dd1733b2ce,6046.97,Airfreight,
SC1,72a0b5e6-2bd6-4ecc-9ed1-7347f19852ba,2015-08-04 00:25:26,Sharyn Laxton,f3b93d9b-09d0-4386-beba-b7bdba319d2c,8828.45,Standard Pallet,
SC1,55653be4-177b-4fcc-a27a-97d781b263ba,2017-12-03 08:57:23,Ward Weckerly,f062ff80-c1db-43b8-91da-e63f0b737c4c,10851.17,Sea Freight,
SC1,502e6c67-ce83-4e0e-b24f-730f72e06d26,2014-03-25 07:50:00,Kenia Romine,7f1d80f0-f5d5-4e30-9372-cf8b3a36887a,11220.21,Standard Delivery,
SC1,63246b6a-13b4-4f1d-92af-986245e1964d,2018-02-07 17:15:54,Irene Llanas,6d104d28-d8bb-4969-ab32-50532b8b9be3,1776.44,Local Delivery,
SC1,9c4cf9e3-3896-4521-927a-c8a6245124b8,2010-06-25 21:53:49,Alfonso Wernick,f3b93d9b-09d0-4386-beba-b7bdba319d2c,14843.63,Standard Pallet,
SC1,df5ff5d3-4ce8-4899-a454-ca54e1263298,2016-07-09 02:06:25,Dalila Proehl,562bb1ef-b089-4dbb-a800-2f3f878d3f59,10175.19,Post Office,
SC1,10ad2da6-fd69-40c8-8519-7150209f3965,2019-04-25 20:09:31,Lillian Wheaton,562bb1ef-b089-4dbb-a800-2f3f878d3f59,11606.92,Courier Service,
